ecosystem,climate_zone,MGeodelSOC1Pb,LowerCIGeodelSOC1Pb,UpperCIGeodelSOC1Pb,pb210_n,MGeodelSOC2Cs,LowerCIGeodelSOC2Cs,UpperCIGeodelSOC2Cs,cs137_n
Estuarine Aquatic Bed,Warm Temperate,0.10177239198219626,0.06773896402432013,0.15290490368378146,6,NA,NA,NA,0
Estuarine Emergent Wetland,Cold Temperate,1.253588592463399,0.9649346939513476,1.6285914155695191,15,1.435381956626162,1.034887443791273,1.990865164872458,6
Estuarine Emergent Wetland,Mediterranean,0.8450321109617418,0.7243376767710512,0.9858375333168867,22,1.0484151687383423,0.9237802040749058,1.189865685789819,25
Estuarine Emergent Wetland,Subtropical,1.5874369274664495,1.1668720485076876,2.1595821083441775,37,2.158655924879574,1.6961788736346286,2.7472311290097156,50
Estuarine Emergent Wetland,Warm Temperate,1.0385504028010382,0.8740855688413737,1.2339603553779035,90,0.9676034652900796,0.7317324995524785,1.279506468024827,60
Estuarine Forested Wetland,Subtropical,0.9346233930691688,0.6025918512178026,1.4496062054387089,10,2.0319578049875937,1.1640040480928187,3.5471118232062735,2
Estuarine Scrub/Shrub Wetland,Subtropical,0.26797126954278677,0.19023773421435514,0.3774677069033041,2,0.29999423196014563,NA,NA,1
Palustrine Emergent Wetland,Cold Temperate,1.0096837633635594,0.8505753200415506,1.1985549991624485,2,NA,NA,NA,0
Palustrine Emergent Wetland,Subtropical,0.45365184888855026,0.10025269123495771,2.0528127221809522,2,1.8396475887553116,1.3169569761420479,2.569790290892691,8
Palustrine Emergent Wetland,Warm Temperate,1.5442110162634621,1.1562657237479925,2.0623180414099638,41,1.4321597205605818,1.2275623378487035,1.6708572770248664,14
Palustrine Forested Wetland,Cold Temperate,1.0019880238805252,0.3431554003315313,2.9257298560070124,2,NA,NA,NA,0
Palustrine Forested Wetland,Subtropical,0.6741669431400308,0.5573800171921196,0.8154240432091318,5,NA,NA,NA,0
Palustrine Forested Wetland,Warm Temperate,1.7309999999999999,NA,NA,1,1.1470846746113412,0.8375064651941375,1.5710962307893321,6
